2022,11,29,164.0
2022,11,29,35.0
2022,11,29,106.0
2022,11,30,143.0
2019,1,21,300.0
2018,12,30,342.78
2017,10,14,43.25
2022,11,30,113.0
2022,11,30,53.0
2022,11,30,93.0
2022,11,30,146.0
2022,12,1,93.0
2022,12,1,80.0
2022,12,1,60.0
2022,12,1,106.2
2022,12,1,None
2022,12,1,95.4
2022,12,1,106.2
2022,12,1,112.5
2022,12,1,None
2022,12,1,None
2022,12,1,48.0
2022,12,1,98.0
2022,12,1,92.7
2022,12,1,100.0
2022,12,1,53.0
2022,12,1,101.7
2022,12,1,90.0
2022,12,2,0
2022,12,2,149.4
2022,12,2,48.0
2022,12,2,86.0
2022,12,2,101.7
2022,12,2,95.4
2022,12,2,98.0
2022,12,2,48.0
2022,12,2,90.0
2022,12,2,50.0
2022,12,2,30.0
2022,12,2,53.0
2022,12,2,0
2022,12,2,0
2022,12,2,40.0
2022,12,2,0
2022,12,2,0
